AC No,Year,Rank,Candidate,Party,Alliance,Votes,Valid Votes,Electors,Voteshare,Margin
34,2020,1,MINA KUMARI,JD(U),NDA,77367,191559,314309,40.3881,11488
34,2020,2,UMAKANT YADAV,RJD,MGB,65879,191559,314309,34.3910,-11488
34,2020,3,MAHENDRA PRASAD SINGH,RLSP,GDSF,11759,191559,314309,6.1386,-65608
34,2020,4,AMAR NATH PRASAD,LJP,Other,9818,191559,314309,5.1253,-67549
34,2020,5,NOTA,NOTA,Other,4988,191559,314309,2.6039,-72379
34,2020,6,SHIV NANDAN MANDAL,VPI,Other,3653,191559,314309,1.9070,-73714
34,2020,7,MAHA NARAYAN ROY,IND,Other,3492,191559,314309,1.8229,-73875
34,2020,8,SHALINI KUMARI,TPLRSP,Other,3413,191559,314309,1.7817,-73954
34,2020,9,MANOJ JHA,SAP,Other,2941,191559,314309,1.5353,-74426
34,2020,10,VISHWANATH ROY,BRRTD,Other,2242,191559,314309,1.1704,-75125
34,2020,11,VIDYA SAGAR MANDAL,JGHTP,Other,1954,191559,314309,1.0201,-75413
34,2020,12,ANIL KUMAR YADAV,RPPRINAT,Other,1634,191559,314309,0.8530,-75733
34,2020,13,RAJ KUMAR SINGH,JAPL,Other,1504,191559,314309,0.7851,-75863
34,2020,14,RAMA SAHNI,BRCTP,Other,915,191559,314309,0.4777,-76452
35,2020,1,HARIBHUSHAN THAKUR 'BACHOL',BJP,NDA,86574,178769,328098,48.4279,10241
35,2020,2,Da. FAIYAZ AHMAD,RJD,MGB,76333,178769,328098,42.6992,-10241
35,2020,3,NOTA,NOTA,Other,2929,178769,328098,1.6384,-83645
35,2020,4,MAHESHWAR PRASAD CHAUDHARY,IND,Other,2411,178769,328098,1.3487,-84163
35,2020,5,RAJ KUMAR MUKHIYA,IND,Other,2172,178769,328098,1.2150,-84402
35,2020,6,PUSHPAM PRIYA,TPLRSP,Other,1521,178769,328098,0.8508,-85053
35,2020,7,TAUKIR,NCP,Other,1518,178769,328098,0.8491,-85056
35,2020,8,ABADHESH KUMAR,JTLP,Other,1463,178769,328098,0.8184,-85111
35,2020,9,INDRAJEET MAHTO,IND,Other,964,178769,328098,0.5392,-85610
35,2020,10,MANISH KUMAR,IND,Other,878,178769,328098,0.4911,-85696
35,2020,11,MD AUSAF,SJDD,GDSF,775,178769,328098,0.4335,-85799
35,2020,12,BHARAT PASWAN,IND,Other,617,178769,328098,0.3451,-85957
35,2020,13,ASHOK KUMAR ROY,IND,Other,351,178769,328098,0.1963,-86223
35,2020,14,ARVIND KUMAR MISHRA,IND,Other,263,178769,328098,0.1471,-86311
36,2020,1,SAMIR KUMAR MAHASETH,RJD,MGB,71332,187739,346962,37.9953,6814
36,2020,2,SUMAN KUMAR MAHASETH,VSIP,NDA,64518,187739,346962,34.3658,-6814
36,2020,3,ARVIND KUMAR PURBEY,LJP,Other,15818,187739,346962,8.4255,-55514
36,2020,4,RAMDEO MAHTO,IND,Other,8247,187739,346962,4.3928,-63085
36,2020,5,AMANULLAH KHAN,SJDD,GDSF,7344,187739,346962,3.9118,-63988
36,2020,6,MIHIR KUMAR JHA 'MAHADEO',IND,Other,4866,187739,346962,2.5919,-66466
36,2020,7,NOTA,NOTA,Other,4181,187739,346962,2.2270,-67151
36,2020,8,MADHU BALA GIRI,TPLRSP,Other,2804,187739,346962,1.4936,-68528
36,2020,9,DINESH MANDAL,RPPRINAT,Other,2057,187739,346962,1.0957,-69275
36,2020,10,ANITA KUMARI ALIAS ANITA JHA,IND,Other,2001,187739,346962,1.0658,-69331
36,2020,11,ANPURNA DEVI,BRCTP,Other,1738,187739,346962,0.9258,-69594
36,2020,12,SHANKAR MAHASETH,SHS,Other,1525,187739,346962,0.8123,-69807
36,2020,13,MOHAMMAD NESAR AHMAD RAZVI,IND,Other,1308,187739,346962,0.6967,-70024
37,2020,1,Dr. Ramprit Paswan,BJP,NDA,89459,173977,331220,51.4200,19121
37,2020,2,Ramawatar Paswan,RJD,MGB,70338,173977,331220,40.4295,-19121
37,2020,3,NOTA,NOTA,Other,4303,173977,331220,2.4733,-85156
37,2020,4,Rakesh Kumar,IND,Other,2017,173977,331220,1.1593,-87442
37,2020,5,Raja Ram Chaupal,VPI,Other,1612,173977,331220,0.9266,-87847
37,2020,6,Arun Kumar Mandal,JGHTP,Other,1600,173977,331220,0.9197,-87859
37,2020,7,Jay Bansh Kumar Ram,IND,Other,1368,173977,331220,0.7863,-88091
37,2020,8,Santosh Kumar Suman,TPLRSP,Other,1267,173977,331220,0.7283,-88192
37,2020,9,Shiv Shankar Paswan,SJDD,GDSF,726,173977,331220,0.4173,-88733
37,2020,10,Gopal Choupal,BRCTP,Other,688,173977,331220,0.3955,-88771
37,2020,11,Channe Saday,JKiP,Other,599,173977,331220,0.3443,-88860
38,2020,1,NITISH MISHRA,BJP,NDA,94854,180762,317948,52.4745,41788
38,2020,2,RAM NARAYAN YADAV,CPI,MGB,53066,180762,317948,29.3568,-41788
38,2020,3,GANGA PRASAD GANGOTRI,IND,Other,8658,180762,317948,4.7897,-86196
38,2020,4,MADAN KUMAR MAHTO,IND,Other,5683,180762,317948,3.1439,-89171
38,2020,5,BIRENDRA KUMAR CHOUDHARY,RLSP,GDSF,3262,180762,317948,1.8046,-91592
38,2020,6,RAKESH KUMAR YADAV,IND,Other,2788,180762,317948,1.5424,-92066
38,2020,7,GANPATI JHA,IND,Other,2671,180762,317948,1.4776,-92183
38,2020,8,NOTA,NOTA,Other,1496,180762,317948,0.8276,-93358
38,2020,9,ABHAY KANT MISHRA,IND,Other,1375,180762,317948,0.7607,-93479
38,2020,10,BANDANA DEVI,IND,Other,1255,180762,317948,0.6943,-93599
38,2020,11,OM PRAKASH PODDAR,JmtP,Other,1200,180762,317948,0.6639,-93654
38,2020,12,SADANAND SUMAN,JAPL,Other,842,180762,317948,0.4658,-94012
38,2020,13,BAIDEHI KANTA SHARAN,AKBMP,Other,747,180762,317948,0.4133,-94107
38,2020,14,RAJ KUMAR SADAY,BMUP,Other,632,180762,317948,0.3496,-94222
38,2020,15,LAKSHMAN PRASAD YADAV,IND,Other,601,180762,317948,0.3325,-94253
38,2020,16,SANJEEV KUMAR SUMAN,TPLRSP,Other,600,180762,317948,0.3319,-94254
38,2020,17,RAMCHANDRA RAY,JKiP,Other,399,180762,317948,0.2207,-94455
38,2020,18,ABDUL IRFAN,IND,Other,377,180762,317948,0.2086,-94477
38,2020,19,RAM SHANKAR RAUT,SatBP,Other,256,180762,317948,0.1416,-94598
39,2020,1,SHEELA KUMARI,JD(U),NDA,75116,182055,325217,41.2601,10966
39,2020,2,KRIPANATH PATHAK,INC,MGB,64150,182055,325217,35.2366,-10966
39,2020,3,BINOD KUMAR SINGH,LJP,Other,10088,182055,325217,5.5412,-65028
39,2020,4,GULAJAR DEVI,IND,Other,4939,182055,325217,2.7129,-70177
39,2020,5,GAURI SHANKAR YADAV,JAPL,Other,4916,182055,325217,2.7003,-70200
39,2020,6,SANJAY KUMAR SINGH URF SAHIL KUMAR SINGH,IND,Other,4448,182055,325217,2.4432,-70668
39,2020,7,NOTA,NOTA,Other,3894,182055,325217,2.1389,-71222
39,2020,8,RAM KUMAR YADAV,SJDD,GDSF,2831,182055,325217,1.5550,-72285
39,2020,9,VIJAY KUMAR,IND,Other,2617,182055,325217,1.4375,-72499
39,2020,10,HRIDAY NARAYAN KAMAT,IND,Other,2105,182055,325217,1.1562,-73011
39,2020,11,ASHOK SINGH,NJANP,Other,1556,182055,325217,0.8547,-73560
39,2020,12,PARWEZ ALAM,PECP,Other,1504,182055,325217,0.8261,-73612
39,2020,13,BRAJESH KUMAR KUNWAR,TPLRSP,Other,1278,182055,325217,0.7020,-73838
39,2020,14,RATNESH KUMAR SAHU,PPID,Other,967,182055,325217,0.5312,-74149
39,2020,15,SHRIMATI REKHA RANJAN YADAV,IND,Other,964,182055,325217,0.5295,-74152
39,2020,16,GANESH YADAV,VPI,Other,682,182055,325217,0.3746,-74434
40,2020,1,BHARAT BHUSHAN MANDAL,RJD,MGB,78523,209006,341847,37.5697,10077
40,2020,2,LAKSHMESHWAR RAY,JD(U),NDA,68446,209006,341847,32.7483,-10077
40,2020,3,PRAMOD KUMAR PRIYEDARSHI,LJP,Other,30494,209006,341847,14.5900,-48029
40,2020,4,DINESH GUPTA,IND,Other,6319,209006,341847,3.0234,-72204
40,2020,5,ALOK KUMAR YADAV,SJDD,GDSF,4930,209006,341847,2.3588,-73593
40,2020,6,BALESHWAR GURMAITA,IND,Other,4703,209006,341847,2.2502,-73820
40,2020,7,NOTA,NOTA,Other,4486,209006,341847,2.1463,-74037
40,2020,8,LALIT KUMAR MAHTO,JAPL,Other,2460,209006,341847,1.1770,-76063
40,2020,9,INDRADEV JEE,IND,Other,1806,209006,341847,0.8641,-76717
40,2020,10,BHOLA PASWAN,PBI,Other,1667,209006,341847,0.7976,-76856
40,2020,11,LALIT MANDAL,JGHTP,Other,1354,209006,341847,0.6478,-77169
40,2020,12,RAM KUMAR MANDAL,VPI,Other,955,209006,341847,0.4569,-77568
40,2020,13,RANJEET KUMAR YADAV,SatBP,Other,848,209006,341847,0.4057,-77675
40,2020,14,KUMARI MALVIKA,BRCTP,Other,810,209006,341847,0.3875,-77713
40,2020,15,INDU DEVI,RTJPS,Other,782,209006,341847,0.3742,-77741
